index,id,y_true,y_pred,w_text,w_audio,w_vision,pred_text_center,pred_audio_center,pred_vision_center,err_text_center,err_audio_center,err_vision_center,oracle_w_text,oracle_w_audio,oracle_w_vision,router_selected_anchor,oracle_selected_anchor,router_oracle_match,availability_text,availability_audio,availability_vision,g_task,g_rel,w_rel_text,w_rel_audio,w_rel_vision,w_task_text,w_task_audio,w_task_vision,router_rel_selected_anchor,router_task_selected_anchor,task_router_oracle_match,entropy_rel,entropy_task,router_disagreement,pred_std,pred_range
554,vyB00TXsimI$_$22,0.6000000238418579,0.9448845386505127,0.9924357533454895,0.0009961365722119808,0.006568031385540962,-0.03561688959598541,3.0429301261901855,-1.9691591262817383,0.6356168985366821,2.442930221557617,2.5691590309143066,0.8377768397331238,0.08749748766422272,0.07472570985555649,text,text,1,0.75,0.6538461446762085,0.4516128897666931,0.004717990756034851,0.995281994342804,0.9924357533454895,0.0009961365722119808,0.006568031385540962,0.009106642566621304,0.005913442000746727,0.9849799275398254,text,vision,0,0.04742838442325592,0.08803559839725494,0.6555527448654175,2.0638980865478516,5.012089252471924
204,f9O3YtZ2VfI$_$22,1.399999976158142,-0.14821112155914307,0.9892345666885376,0.0009661120129749179,0.009799288585782051,-0.03561688959598541,-0.12412568181753159,0.17646390199661255,1.4356168508529663,1.5241256952285767,1.2235360145568848,0.3126145899295807,0.27987274527549744,0.4075126647949219,text,vision,0,0.7272727489471436,0.48275861144065857,0.529411792755127,0.08180402219295502,0.9181959629058838,0.9892345666885376,0.0009661120129749179,0.009799288585782051,0.0073629445396363735,0.003654239233583212,0.9889828562736511,text,vision,1,0.06274030357599258,0.06762491166591644,0.6545811295509338,0.12612435221672058,0.30058959126472473
675,zhpQhgha_KU$_$14,-1.5,-2.8854880332946777,0.9837743043899536,0.0010864237556234002,0.015139259397983551,-0.03561688959598541,-0.467044860124588,0.7291967868804932,1.4643831253051758,1.0329551696777344,2.229196786880493,0.3226637840270996,0.5532975196838379,0.12403873354196548,text,audio,0,0.6666666865348816,0.3214285671710968,0.5757575631141663,0.05144872888922691,0.9485512971878052,0.9837743043899536,0.0010864237556234002,0.015139259397983551,0.007395570632070303,0.0029906651470810175,0.9896137118339539,text,vision,0,0.08694853633642197,0.06400380283594131,0.6509191393852234,0.4946451187133789,1.1962416172027588
378,nzpVDcQ0ywM$_$1,0.0,0.7182987332344055,0.9873825907707214,0.0015415579546242952,0.011075828224420547,-0.03561688959598541,1.1688042879104614,-0.773173451423645,0.03561688959598541,1.1688042879104614,0.773173451423645,0.6096409559249878,0.1478777527809143,0.2424812763929367,text,text,1,0.5333333611488342,0.5208333134651184,0.4035087823867798,0.03333287686109543,0.966667115688324,0.9873825907707214,0.0015415579546242952,0.011075828224420547,0.006392375566065311,0.005506177898496389,0.9881014823913574,text,vision,0,0.07239332795143127,0.07276836037635803,0.653993546962738,0.8004094958305359,1.9419777393341064
0,c7UH_rxdZv4$_$24,-1.7999999523162842,1.126747965812683,0.9861732721328735,0.0014862162061035633,0.01234053447842598,-0.03561688959598541,1.7041796445846558,-2.027909517288208,1.76438307762146,3.5041794776916504,0.22790956497192383,0.12596625089645386,0.014314437285065651,0.8597192764282227,text,vision,0,0.4285714328289032,0.4848484992980957,0.41025641560554504,0.011852896772325039,0.9881470799446106,0.9861732721328735,0.0014862162061035633,0.01234053447842598,0.005108991637825966,0.005003255791962147,0.9898877739906311,text,vision,1,0.07764320075511932,0.06352537870407104,0.6540428400039673,1.5247809886932373,3.732089042663574
618,yDtzw_Y-7RU$_$11,-1.399999976158142,2.055875062942505,0.9842424392700195,0.0017278084997087717,0.014029701240360737,-0.03561688959598541,6.215184688568115,-5.402017116546631,1.3643831014633179,7.615184783935547,4.002017021179199,0.9639514684677124,0.0003896676644217223,0.035658903419971466,text,text,1,0.375,0.6176470518112183,0.5,0.00014709139941260219,0.9998528957366943,0.9842424392700195,0.0017278084997087717,0.014029701240360737,0.0036743904929608107,0.0047441571950912476,0.991581380367279,text,vision,0,0.086481973528862,0.0543682798743248,0.6537120342254639,4.747281551361084,11.617201805114746
576,wMbj6ajWbic$_$26,1.7999999523162842,1.3146284818649292,0.9890272617340088,0.0012103354092687368,0.009762396104633808,-0.03561688959598541,1.907765507698059,-0.6898333430290222,1.8356168270111084,0.1077655553817749,2.489833354949951,0.09890277683734894,0.857440173625946,0.04365713149309158,text,audio,0,0.8333333134651184,0.5,0.5,0.019710654392838478,0.9802893400192261,0.9890272617340088,0.0012103354092687368,0.009762396104633808,0.011723649688065052,0.0051962765865027905,0.9830800294876099,text,vision,0,0.06423419713973999,0.09623251110315323,0.6515357494354248,1.1031396389007568,2.5975987911224365
596,wMbj6ajWbic$_$12,1.600000023841858,1.6059606075286865,0.989673376083374,0.0006281804526224732,0.009698396548628807,-0.03561688959598541,3.980834484100342,-4.089890480041504,1.6356168985366821,2.3808345794677734,5.689890384674072,0.7141583561897278,0.28134527802467346,0.004496336914598942,text,text,1,0.5714285969734192,0.4000000059604645,0.5666666626930237,0.0009798238752409816,0.9990201592445374,0.989673376083374,0.0006281804526224732,0.009698396548628807,0.004470585845410824,0.002599049359560013,0.9929303526878357,text,vision,0,0.05986425280570984,0.04670262709259987,0.6568019390106201,3.2948720455169678,8.070724487304688
427,phBUpBr1hSo$_$11,2.0,0.49843961000442505,0.9815616011619568,0.0015824355650693178,0.016855986788868904,-0.03561688959598541,0.06249381974339485,0.35699325799942017,2.035616874694824,1.9375061988830566,1.6430068016052246,0.2656722068786621,0.30033594369888306,0.4339919090270996,text,vision,0,0.4444444477558136,0.380952388048172,0.47999998927116394,0.08904872089624405,0.9109512567520142,0.9815616011619568,0.0015824355650693178,0.016855986788868904,0.005478532053530216,0.004063171334564686,0.9904582500457764,text,vision,1,0.09729595482349396,0.060393303632736206,0.6507220268249512,0.16683270037174225,0.3926101326942444
329,k5Y_838nuGo$_$19,-0.6000000238418579,0.6833544969558716,0.9731903672218323,0.0028055249713361263,0.02400403656065464,-0.03561688959598541,0.6219555139541626,-0.3348727822303772,0.5643831491470337,1.2219555377960205,0.2651272416114807,0.34563735127449036,0.15193073451519012,0.5024318695068359,text,vision,0,0.3684210479259491,0.6857143044471741,0.6428571343421936,0.05552155151963234,0.944478452205658,0.9731903672218323,0.0028055249713361263,0.02400403656065464,0.0027890424244105816,0.004412556532770395,0.9927983283996582,text,vision,1,0.13245655596256256,0.04751158505678177,0.6469342708587646,0.39964932203292847,0.9568282961845398
